Dataset,Id,Neighborhood,Exterior1st,Exterior2nd,ExterQual,BsmtQual,KitchenQual,GarageFinish,FireplaceQu,BsmtFinType1,HeatingQC,GarageType,BsmtExposure,MSZoning,Foundation,HouseStyle,MasVnrType,BsmtCond,SaleCondition,ExterCond,SaleType,LotShape,BsmtFinType2,GarageQual,Condition1,Electrical,RoofStyle,CentralAir,LotConfig,BldgType,Fence,LandContour,GarageCond,PavedDrive,Functional,MiscFeature,Alley,Condition2,Heating,RoofMatl,LandSlope,PoolQC,Street
train,29,BrkSide,MetalSd,MetalSd,WD,Feedr,1Story,RRNn,CompShg,Unf,Unf,Typ,Detchd,BrkTil,none,Gable,GasA,Fa,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,none,RM,Fa,No,Fa,Unf,TA,none,None,Lvl,IR1,Gtl,none,Y,N,Pave
train,30,IDOTRR,BrkFace,BrkFace,WD,Feedr,2Story,Norm,CompShg,Unf,Unf,Typ,Detchd,BrkTil,none,Gambrel,GasA,TA,Fa,Normal,1Fam,Inside,Fa,TA,TA,SBrkr,none,MnPrv,C (all),TA,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,Pave,N,N,Pave
train,31,Sawyer,HdBoard,HdBoard,WD,Norm,1Story,Norm,CompShg,Unf,Unf,Typ,Attchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,CulDSac,TA,TA,TA,SBrkr,none,MnPrv,RL,Gd,No,Gd,Unf,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,32,CollgCr,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,Unf,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,Ex,TA,SBrkr,none,none,RL,Ex,Av,Gd,RFn,Gd,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,33,NAmes,BrkFace,BrkFace,WD,Norm,1Story,Norm,CompShg,Rec,Unf,Typ,Attchd,CBlock,Gd,Hip,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,none,RL,Gd,No,Gd,RFn,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,34,NridgHt,MetalSd,MetalSd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,Gd,Hip,GasA,TA,TA,Normal,TwnhsE,Inside,TA,Ex,TA,SBrkr,none,none,RL,Ex,No,Ex,Fin,Ex,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,35,NridgHt,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,BuiltIn,PConc,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Ex,TA,SBrkr,none,none,RL,Ex,Av,Gd,Fin,Gd,none,Stone,Lvl,Reg,Gtl,none,Y,Y,Pave
train,36,CollgCr,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,Unf,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,Gd,TA,SBrkr,none,none,RL,Ex,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,37,NAmes,Wd Sdng,Wd Sdng,WD,Norm,1Story,Norm,CompShg,Rec,Unf,Typ,Attchd,CBlock,TA,Hip,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,none,RL,Gd,No,TA,Fin,TA,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,38,NAmes,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Detchd,CBlock,none,Gable,GasA,TA,TA,Abnorml,1Fam,Inside,Gd,TA,TA,SBrkr,none,none,RL,TA,No,Gd,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,39,Edwards,Plywood,AsbShng,WD,Norm,1Story,Norm,CompShg,none,none,Typ,none,PConc,none,Gable,GasA,none,none,AdjLand,Duplex,Inside,TA,none,none,FuseP,none,none,RL,TA,none,Fa,none,TA,none,None,Lvl,Reg,Gtl,none,N,N,Pave
train,40,NAmes,Wd Sdng,Wd Sdng,WD,Norm,1Story,Norm,CompShg,Rec,Unf,Typ,Attchd,CBlock,TA,Gable,GasA,TA,TA,Abnorml,1Fam,Inside,TA,TA,TA,SBrkr,none,GdWo,RL,Ex,No,TA,RFn,TA,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,41,Timber,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,BLQ,Unf,Typ,Attchd,CBlock,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,Gd,TA,TA,SBrkr,none,none,RL,Gd,Gd,TA,RFn,TA,none,None,Lvl,Reg,Gtl,none,P,Y,Pave
train,42,SawyerW,HdBoard,HdBoard,WD,Norm,SFoyer,Norm,CompShg,ALQ,LwQ,Typ,Attchd,CBlock,none,Gable,GasA,TA,Gd,Normal,1Fam,CulDSac,TA,Gd,TA,SBrkr,none,MnPrv,RL,Gd,Av,Gd,RFn,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,43,CollgCr,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,LwQ,BLQ,Typ,Detchd,CBlock,none,Hip,GasA,TA,TA,Normal,1Fam,CulDSac,TA,Gd,TA,SBrkr,none,MnPrv,RL,TA,Av,TA,Unf,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,44,NAmes,Wd Sdng,BrkFace,WD,Norm,1Story,Norm,CompShg,ALQ,BLQ,Typ,Attchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,FuseA,none,none,RL,Ex,No,TA,RFn,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,45,NridgHt,MetalSd,MetalSd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,Gd,Hip,GasA,TA,TA,Normal,TwnhsE,Inside,TA,Ex,TA,SBrkr,none,none,RL,Ex,No,Ex,RFn,Ex,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,46,Mitchel,VinylSd,VinylSd,WD,Norm,1.5Fin,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,Ex,Gable,GasA,TA,TA,Abnorml,1Fam,CulDSac,TA,Ex,TA,SBrkr,none,none,RL,Ex,No,Gd,RFn,Gd,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,47,Somerst,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Gd,TA,SBrkr,none,none,FV,Ex,Av,Gd,RFn,Gd,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,48,OldTown,MetalSd,MetalSd,New,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,none,BrkTil,none,Gable,GasA,none,none,Partial,2fmCon,Inside,TA,TA,TA,SBrkr,none,none,RM,Gd,No,TA,none,TA,none,None,Lvl,Reg,Gtl,none,N,Y,Pave
train,49,Sawyer,HdBoard,HdBoard,WD,Norm,1Story,Norm,CompShg,BLQ,Unf,Typ,Attchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,MnPrv,RL,Ex,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,50,Gilbert,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,Gd,TA,SBrkr,none,none,RL,Gd,Av,TA,Fin,TA,none,None,Lvl,IR2,Gtl,none,Y,Y,Pave
train,51,BrkSide,Wd Sdng,Wd Sdng,WD,Norm,1.5Fin,Norm,CompShg,Unf,Unf,Typ,Detchd,PConc,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,Shed,MnPrv,RM,TA,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,52,IDOTRR,Wd Sdng,Wd Sdng,WD,RRNn,1Story,Norm,CompShg,LwQ,GLQ,Typ,CarPort,CBlock,none,Gable,GasA,TA,TA,Normal,Duplex,Corner,TA,Gd,TA,SBrkr,none,none,RM,TA,Gd,TA,Unf,Fa,none,None,Bnk,IR2,Mod,none,Y,N,Grvl
train,53,Veenker,Wd Shng,WdShing,WD,Norm,1Story,Norm,WdShngl,GLQ,Unf,Typ,Attchd,CBlock,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Ex,TA,SBrkr,none,none,RL,Gd,Gd,Gd,Fin,Gd,none,None,Low,IR1,Gtl,none,Y,Y,Pave
train,54,NAmes,MetalSd,MetalSd,WD,Norm,SLvl,Norm,CompShg,ALQ,Unf,Min1,Detchd,CBlock,TA,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,MnPrv,RL,TA,No,TA,Unf,TA,none,None,Bnk,Reg,Mod,none,Y,Y,Pave
train,55,NAmes,Plywood,HdBoard,WD,Norm,1Story,Norm,CompShg,BLQ,Unf,Typ,Attchd,CBlock,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,none,RL,Gd,No,TA,RFn,TA,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,56,Somerst,MetalSd,MetalSd,WD,Norm,2Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Abnorml,Twnhs,Inside,TA,Gd,TA,SBrkr,none,none,FV,Ex,No,Gd,Fin,Gd,none,BrkFace,Lvl,Reg,Gtl,Pave,Y,Y,Pave
train,57,CollgCr,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,Gd,TA,SBrkr,none,none,RL,Ex,No,Gd,RFn,Gd,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,58,StoneBr,VinylSd,VinylSd,New,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,BuiltIn,PConc,Gd,Hip,GasA,TA,TA,Partial,1Fam,CulDSac,TA,Ex,TA,SBrkr,none,none,RL,Ex,Gd,Gd,Fin,Ex,none,BrkFace,HLS,IR2,Gtl,none,Y,Y,Pave
train,59,CollgCr,HdBoard,HdBoard,WD,Norm,1Story,Norm,CompShg,ALQ,Unf,Typ,Detchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,MnPrv,RL,Ex,Av,TA,Unf,TA,none,None,Bnk,Reg,Gtl,none,Y,Y,Pave
train,60,SawyerW,VinylSd,VinylSd,New,RRAe,1Story,Norm,CompShg,ALQ,Unf,Typ,Detchd,PConc,none,Gable,GasA,TA,TA,Partial,1Fam,Inside,TA,Gd,TA,SBrkr,none,none,RL,Ex,No,Gd,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,61,IDOTRR,MetalSd,MetalSd,WD,Norm,2.5Unf,Norm,CompShg,Unf,Unf,Typ,Detchd,BrkTil,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,Fa,SBrkr,none,none,RM,TA,No,Fa,Unf,TA,none,None,Lvl,Reg,Gtl,none,N,N,Pave
train,62,NridgHt,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,Gd,Gable,GasA,TA,TA,Normal,TwnhsE,Inside,TA,Gd,Gd,SBrkr,none,none,RL,Ex,Mn,Gd,RFn,Gd,none,Stone,Lvl,IR1,Gtl,none,Y,Y,Pave
train,63,OldTown,Stucco,Stucco,WD,RRAn,2Story,Feedr,CompShg,Unf,Unf,Typ,Detchd,BrkTil,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,GdPrv,RM,Gd,No,TA,Unf,TA,none,None,Bnk,IR1,Gtl,none,Y,Y,Pave
train,64,CollgCr,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Gd,TA,SBrkr,none,GdPrv,RL,Ex,No,Gd,RFn,TA,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,65,NridgHt,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,BuiltIn,PConc,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Ex,TA,SBrkr,none,none,RL,Ex,Av,Gd,RFn,Gd,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,66,NAmes,Plywood,Plywood,WD,PosA,1Story,Norm,CompShg,GLQ,Unf,Min1,Attchd,CBlock,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Gd,TA,SBrkr,none,none,RL,TA,Gd,TA,RFn,TA,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,67,CollgCr,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Gd,TA,SBrkr,none,none,RL,Ex,Av,Gd,RFn,Gd,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,68,OldTown,MetalSd,MetalSd,WD,Artery,1Story,Norm,CompShg,Unf,Unf,Typ,Attchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,Gd,TA,TA,SBrkr,none,none,RM,TA,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,69,ClearCr,AsbShng,BrkFace,WD,Norm,1.5Fin,Norm,CompShg,BLQ,Unf,Typ,Attchd,CBlock,TA,Gable,GasW,TA,TA,Normal,1Fam,Corner,TA,TA,TA,SBrkr,none,none,RL,TA,No,TA,Fin,Gd,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,70,NAmes,Plywood,Plywood,WD,Norm,1Story,Norm,CompShg,ALQ,Unf,Typ,Attchd,CBlock,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,Gd,Gd,TA,SBrkr,none,none,RL,Ex,Gd,TA,Fin,TA,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,71,Mitchel,Plywood,HdBoard,WD,Norm,1Story,Norm,CompShg,ALQ,Unf,Typ,Detchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,TA,TA,SBrkr,none,none,RL,TA,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,72,Gilbert,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,Attchd,PConc,TA,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,Gd,TA,SBrkr,none,none,RL,Gd,No,TA,Fin,TA,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,73,NAmes,Wd Sdng,Wd Sdng,WD,Norm,1Story,Norm,CompShg,ALQ,BLQ,Typ,Attchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,GdWo,RL,Gd,No,TA,Unf,TA,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,74,OldTown,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,Detchd,CBlock,none,Gambrel,GasA,TA,TA,Normal,1Fam,Corner,Gd,Fa,TA,SBrkr,none,none,RM,Gd,No,TA,Unf,Gd,none,None,Lvl,Reg,Gtl,none,Y,N,Pave
train,75,MeadowV,CmentBd,CemntBd,WD,Norm,SLvl,Norm,CompShg,GLQ,Unf,Typ,BuiltIn,CBlock,none,Gable,GasA,TA,TA,Normal,Twnhs,Inside,TA,Gd,TA,SBrkr,none,GdWo,RM,TA,Gd,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,76,NAmes,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,ALQ,Unf,Typ,Detchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,FuseA,none,none,RL,Ex,No,TA,Unf,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,77,BrkSide,Wd Sdng,Wd Sdng,WD,Norm,1.5Fin,Norm,CompShg,BLQ,GLQ,Min1,Detchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,MnPrv,RM,TA,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,78,Sawyer,HdBoard,HdBoard,WD,Norm,1Story,Norm,CompShg,Unf,Unf,Typ,none,CBlock,none,Hip,GasA,none,none,Normal,Duplex,Inside,TA,TA,TA,SBrkr,none,none,RL,TA,No,TA,none,TA,none,None,Lvl,Reg,Gtl,none,Y,N,Pave
train,79,OldTown,Wd Sdng,Wd Sdng,WD,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,Detchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,TA,TA,SBrkr,none,MnPrv,RM,Gd,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,Grvl,Y,Y,Pave
